"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.1",1,0.495,0.495,2,2,1,1,0,0,0,0,0,0
"result.2",0,0.083,0.273,2,2,1,1,0,0,0,0,0,1
"result.3",1,0.621,0.621,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.651,0.651,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.618,0.618,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.581,0.581,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.457,0.457,2,2,1,1,0,0,0,0,0,0
"result.8",0,0.037,0.4,2,2,1,1,0,1,0,1,0,0
"result.9",1,0.244,0.244,2,2,1,1,0,0,0,0,0,0
"result.10",0,0.266,0.344,2,2,1,1,0,0,0,0,0,1
"result.11",1,0.663,0.663,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.563,0.563,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.625,0.625,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.521,0.521,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.313,0.313,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.596,0.596,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.343,0.343,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.453,0.453,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.495,0.495,2,2,1,1,0,0,0,0,0,0
"result.21",0,0.161,0.481,2,2,1,1,0,0,0,0,1,0
"result.22",1,0.613,0.613,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.291,0.291,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.347,0.347,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.409,0.409,2,2,1,1,0,0,0,0,0,0
"result.26",0,0.294,0.375,2,2,1,2,0,0,0,0,0,0
"result.27",1,0.569,0.569,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.468,0.468,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.651,0.651,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.389,0.389,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.46,0.46,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.625,0.625,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.508,0.508,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.424,0.424,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.524,0.524,2,2,1,1,0,0,0,0,0,0
"result.36",1,0.493,0.493,2,2,1,1,0,0,0,0,0,0
"result.37",1,0.481,0.481,2,2,1,1,0,0,0,0,0,0
"result.38",1,0.539,0.539,2,2,1,1,0,0,0,0,0,0
"result.39",1,0.464,0.464,2,2,1,1,0,0,0,0,0,0
"result.40",0,0.181,0.377,2,2,1,1,0,0,1,0,0,0
"result.41",1,0.541,0.541,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.222,0.222,2,2,1,1,0,0,0,0,0,0
"result.43",0,0.122,0.306,2,2,1,1,0,0,1,0,0,0
"result.44",1,0.507,0.507,2,2,1,1,0,0,0,0,0,0
"result.45",1,0.473,0.473,2,2,1,1,0,0,0,0,0,0
"result.46",1,0.636,0.636,2,2,1,1,0,0,0,0,0,0
"result.47",1,0.54,0.54,2,2,1,1,0,0,0,0,0,0
"result.48",1,0.55,0.55,2,2,1,1,0,0,0,0,0,0
"result.49",1,0.519,0.519,2,2,1,1,0,0,0,0,0,0
"result.50",1,0.492,0.492,2,2,1,1,0,0,0,0,0,0
"result.51",1,0.614,0.614,2,2,1,1,0,0,0,0,0,0
"result.52",1,0.493,0.493,2,2,1,1,0,0,0,0,0,0
"result.53",1,0.598,0.598,2,2,1,1,0,0,0,0,0,0
"result.54",1,0.535,0.535,2,2,1,1,0,0,0,0,0,0
"result.55",0,0.077,0.127,2,2,1,1,0,1,0,1,0,0
"result.56",1,0.561,0.561,2,2,1,1,0,0,0,0,0,0
"result.57",1,0.498,0.498,2,2,1,1,0,0,0,0,0,0
"result.58",1,0.575,0.575,2,2,1,1,0,0,0,0,0,0
"result.59",1,0.242,0.242,2,2,1,1,0,0,0,0,0,0
"result.60",1,0.612,0.612,2,2,1,1,0,0,0,0,0,0
"result.61",1,0.621,0.621,2,2,1,1,0,0,0,0,0,0
"result.62",1,0.4,0.4,2,2,1,1,0,0,0,0,0,0
"result.63",0,0.262,0.359,2,2,1,1,0,1,0,0,0,0
"result.64",1,0.428,0.428,2,2,1,1,0,0,0,0,0,0
"result.65",1,0.535,0.535,2,2,1,1,0,0,0,0,0,0
"result.66",1,0.568,0.568,2,2,1,1,0,0,0,0,0,0
"result.67",1,0.358,0.358,2,2,1,1,0,0,0,0,0,0
"result.68",1,0.505,0.505,2,2,1,1,0,0,0,0,0,0
"result.69",1,0.276,0.276,2,2,1,1,0,0,0,0,0,0
"result.70",1,0.59,0.59,2,2,1,1,0,0,0,0,0,0
"result.71",0,0,0.205,2,2,1,1,0,0,0,1,0,1
"result.72",1,0.502,0.502,2,2,1,1,0,0,0,0,0,0
"result.73",1,0.467,0.467,2,2,1,1,0,0,0,0,0,0
"result.74",1,0.311,0.311,2,2,1,1,0,0,0,0,0,0
"result.75",1,0.596,0.596,2,2,1,1,0,0,0,0,0,0
"result.76",1,0.48,0.48,2,2,1,1,0,0,0,0,0,0
"result.77",1,0.458,0.458,2,2,1,1,0,0,0,0,0,0
"result.78",0,0.209,0.389,2,2,1,1,0,0,1,0,0,0
"result.79",1,0.62,0.62,2,2,1,1,0,0,0,0,0,0
"result.80",1,0.583,0.583,2,2,1,1,0,0,0,0,0,0
"result.81",1,0.239,0.239,2,2,1,1,0,0,0,0,0,0
"result.82",1,0.405,0.405,2,2,1,1,0,0,0,0,0,0
"result.83",1,0.337,0.337,2,2,1,1,0,0,0,0,0,0
"result.84",1,0.685,0.685,2,2,1,1,0,0,0,0,0,0
"result.85",1,0.428,0.428,2,2,1,1,0,0,0,0,0,0
"result.86",1,0.57,0.57,2,2,1,1,0,0,0,0,0,0
"result.87",0,0.091,0.188,2,2,1,1,0,0,1,0,0,0
"result.88",0,0.132,0.269,2,2,1,1,0,0,0,0,0,1
"result.89",1,0.411,0.411,2,2,1,1,0,0,0,0,0,0
"result.90",1,0.313,0.313,2,2,1,1,0,0,0,0,0,0
"result.91",1,0.223,0.223,2,2,1,1,0,0,0,0,0,0
"result.92",1,0.7,0.7,2,2,1,1,0,0,0,0,0,0
"result.93",1,0.542,0.542,2,2,1,1,0,0,0,0,0,0
"result.94",1,0.6,0.6,2,2,1,1,0,0,0,0,0,0
"result.95",1,0.514,0.514,2,2,1,1,0,0,0,0,0,0
"result.96",0,0.175,0.375,2,2,1,1,0,0,0,1,0,0
"result.97",1,0.55,0.55,2,2,1,1,0,0,0,0,0,0
"result.98",1,0.485,0.485,2,2,1,1,0,0,0,0,0,0
"result.99",1,0.243,0.243,2,2,1,1,0,0,0,0,0,0
"result.100",1,0.572,0.572,2,2,1,1,0,0,0,0,0,0
